Block,conds_view_File,n_reps,instr_1,TriggerBlockView,ImageFile,Trigger,conds_reg_File,TriggerBlockReg,instr_2,blocks_view.thisRepN,blocks_view.thisTrialN,blocks_view.thisN,blocks_view.thisIndex,trials_view.thisRepN,trials_view.thisTrialN,trials_view.thisN,trials_view.thisIndex,blocks_reg.thisRepN,blocks_reg.thisTrialN,blocks_reg.thisN,blocks_reg.thisIndex,trials_reg.thisRepN,trials_reg.thisTrialN,trials_reg.thisN,trials_reg.thisIndex,trials_choice.thisRepN,trials_choice.thisTrialN,trials_choice.thisN,trials_choice.thisIndex,Fix_jitter,image_view.started,image_view.lasted,image_view.stopped,slider_arousal.response,slider_arousal.rt,slider_effort.response,slider_effort.rt,image_reg.started,image_reg.lasted,image_reg.stopped,resp_choice.keys,resp_choice.rt,key_resp.keys,key_resp.rt,image.started,image.lased,image.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7025.jpg,1,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,3.2,25.467329058327778,6.031206320823003,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7021.jpg,1,,,,0,0,0,0,0,1,1,10,,,,,,,,,,,,,3.7,35.21015953796814,6.015153075414673,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7041.jpg,1,,,,0,0,0,0,0,2,2,12,,,,,,,,,,,,,4.6,45.862970131101974,6.010456536321726,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7004.jpg,1,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,3.6,55.50361078522974,6.012676324727181,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7233.jpg,1,,,,0,0,0,0,0,4,4,18,,,,,,,,,,,,,3.8,65.34549332748202,6.012077066870006,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7100.jpg,1,,,,0,0,0,0,0,5,5,13,,,,,,,,,,,,,3.6,74.97896919307732,6.011041518495858,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7150.jpg,1,,,,0,0,0,0,0,6,6,14,,,,,,,,,,,,,4.6,85.62371226127107,6.004668148129895,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/083.jpg,1,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,4.7,96.38422181009855,6.000564932058751,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7009.jpg,1,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,3.1,105.52774695406652,6.013689256570615,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7000.jpg,1,,,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,3.8,115.37345602079313,6.00586345582451,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/107.jpg,1,,,,0,0,0,0,0,10,10,1,,,,,,,,,,,,,3.3,124.7086634785378,6.001238615945567,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/140.jpg,1,,,,0,0,0,0,0,11,11,3,,,,,,,,,,,,,4.9,135.6573849067222,6.0032248606034955,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7235.jpg,1,,,,0,0,0,0,0,12,12,19,,,,,,,,,,,,,4.5,146.217215574673,6.0011330721363265,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7006.jpg,1,,,,0,0,0,0,0,13,13,8,,,,,,,,,,,,,3.5,155.75611263866267,6.007264718308761,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/124.jpg,1,,,,0,0,0,0,0,14,14,2,,,,,,,,,,,,,3.6,165.3942013140686,6.013472875722073,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7185.jpg,1,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,3.6,175.0468229549124,6.009457238556934,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7211.jpg,1,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,4.3,185.39561540862633,6.010973668905081,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7224.jpg,1,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,3.3,194.73567403195648,5.997080221955912,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/7002.jpg,1,,,,0,0,0,0,0,18,18,6,,,,,,,,,,,,,3.6,204.37589219004667,6.000255839475358,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,Stimuli/143.jpg,1,,,,0,0,0,0,0,19,19,4,,,,,,,,,,,,,4.6,215.0278488086542,6.012368515351227,None,,,,,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
1,Trials/StimuliNeutral.xlsx,1,ANSCHAUEN,21,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,6.296296296296289,5.367346991151408,14.444444444444438,4.1984971074903115,,,,,,,,,,,B19S05,2022-10-06_09h24.17.915,t2_paradigm,2021.1.4,60.02119965793137,
